area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,Immediate Possession,Electronic City,5 Bedroom,Society B,1040,2,2,5848.32
Carpet  Area,Immediate Possession,Marathahalli,3 Bedroom,Society D,1214,5,2,7147.06
Carpet  Area,Under Construction,BTM Layout,3 Bedroom,Society E,1019,2,3,4291.57
Carpet  Area,Ready To Move,Marathahalli,1 BHK,Society A,973,1,0,5631.43
Super built-up  Area,Ready To Move,Electronic City,5 Bedroom,Society B,1321,1,1,5565.04
Built-up  Area,Under Construction,HSR Layout,5 BHK,Society D,1953,2,2,12313.58
Super built-up  Area,Ready To Move,HSR Layout,5 Bedroom,Society D,1465,3,2,10469.09
Carpet  Area,Ready To Move,HSR Layout,1 Bedroom,Society E,1549,4,2,12890.65
Plot  Area,Immediate Possession,Indira Nagar,1 BHK,Society E,1487,5,0,12304.82
Built-up  Area,Under Construction,Whitefield,1 Bedroom,Society A,1228,3,0,8271.04
Carpet  Area,Immediate Possession,Marathahalli,4 BHK,Society E,1756,1,0,9145.59
Carpet  Area,Immediate Possession,Whitefield,3 BHK,Society A,1701,1,0,10611.53
Plot  Area,Immediate Possession,Jayanagar,5 BHK,Society B,1404,3,1,9201.91
Plot  Area,Immediate Possession,HSR Layout,3 BHK,Society E,1646,1,0,10202.23
Built-up  Area,Ready To Move,BTM Layout,2 Bedroom,Society D,954,1,1,5638.32
Super built-up  Area,Immediate Possession,Indira Nagar,1 BHK,Society B,1042,1,0,8488.85
Super built-up  Area,Immediate Possession,Marathahalli,1 BHK,Society C,1161,2,3,5318.36
Built-up  Area,Under Construction,HSR Layout,2 BHK,Society A,1009,5,3,6091.2
Carpet  Area,Under Construction,Marathahalli,1 BHK,Society A,1007,4,0,5419.19
Carpet  Area,Ready To Move,Marathahalli,4 BHK,Society E,971,5,0,5434.08
Plot  Area,Ready To Move,Marathahalli,1 BHK,Society D,1117,1,0,6261.16
Super built-up  Area,Under Construction,Whitefield,5 BHK,Society E,1482,2,0,9599.99
Plot  Area,Ready To Move,Koramangala,3 Bedroom,Society E,1258,4,2,8173.47
Super built-up  Area,Immediate Possession,BTM Layout,5 Bedroom,Society B,1224,5,2,5545.34
Carpet  Area,Ready To Move,Whitefield,1 BHK,Society C,963,3,0,6112.0
Carpet  Area,Ready To Move,HSR Layout,3 BHK,Society B,1231,1,3,8539.6
Carpet  Area,Under Construction,Whitefield,5 Bedroom,Society E,1594,2,3,6773.73
Plot  Area,Immediate Possession,Electronic City,5 Bedroom,Society A,1787,2,1,6457.27
Carpet  Area,Ready To Move,Whitefield,5 Bedroom,Society E,1545,2,2,10525.22
Built-up  Area,Immediate Possession,Jayanagar,5 BHK,Society D,1924,2,2,11770.89
Carpet  Area,Under Construction,BTM Layout,3 BHK,Society A,1670,1,3,7426.48
Plot  Area,Under Construction,Electronic City,4 BHK,Society A,1884,5,3,6014.56
Super built-up  Area,Ready To Move,Electronic City,4 BHK,Society B,1368,5,3,7923.28
Plot  Area,Immediate Possession,BTM Layout,3 Bedroom,Society E,896,2,0,5568.22
Built-up  Area,Immediate Possession,HSR Layout,1 BHK,Society D,696,2,2,3297.26
Plot  Area,Immediate Possession,Whitefield,1 Bedroom,Society A,1016,4,0,5914.32
Built-up  Area,Ready To Move,Marathahalli,1 Bedroom,Society B,648,5,0,2726.9
Super built-up  Area,Under Construction,Electronic City,3 Bedroom,Society C,1260,4,0,4468.51
Built-up  Area,Ready To Move,Indira Nagar,2 Bedroom,Society B,1376,5,1,12643.41
Built-up  Area,Immediate Possession,Whitefield,4 BHK,Society C,1702,3,0,11688.42
Built-up  Area,Immediate Possession,HSR Layout,4 Bedroom,Society A,1740,5,2,8209.77
Plot  Area,Ready To Move,Jayanagar,3 Bedroom,Society B,1768,3,2,14750.62
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Society E,1181,3,1,5194.59
Plot  Area,Ready To Move,Koramangala,4 BHK,Society C,1346,5,2,12661.51
Carpet  Area,Immediate Possession,HSR Layout,3 BHK,Society C,1601,4,3,8981.97
Plot  Area,Ready To Move,BTM Layout,3 Bedroom,Society C,842,5,1,4133.19
Super built-up  Area,Under Construction,Jayanagar,3 BHK,Society E,1387,5,0,8855.73
Built-up  Area,Immediate Possession,Koramangala,4 BHK,Society D,900,1,3,7555.22
Built-up  Area,Under Construction,HSR Layout,2 Bedroom,Society A,1002,3,1,7416.42
Plot  Area,Immediate Possession,Indira Nagar,5 BHK,Society E,1123,3,3,7919.05
Carpet  Area,Under Construction,Electronic City,2 BHK,Society A,906,2,0,4444.96
Super built-up  Area,Under Construction,Electronic City,1 BHK,Society A,1454,5,0,7711.79
Built-up  Area,Under Construction,BTM Layout,4 Bedroom,Society D,1615,1,1,9403.81
Built-up  Area,Immediate Possession,Electronic City,1 Bedroom,Society A,1377,1,1,4410.42
Super built-up  Area,Ready To Move,BTM Layout,1 BHK,Society E,1006,3,2,5207.88
Carpet  Area,Under Construction,Koramangala,2 BHK,Society B,1504,5,3,9451.33
Carpet  Area,Immediate Possession,Jayanagar,3 BHK,Society A,872,3,3,4516.97
Plot  Area,Immediate Possession,Indira Nagar,2 Bedroom,Society B,1037,4,3,8446.25
Plot  Area,Ready To Move,Indira Nagar,1 BHK,Society B,983,4,1,7533.69
Built-up  Area,Immediate Possession,Whitefield,3 Bedroom,Society E,1016,4,0,5832.41
Carpet  Area,Under Construction,Koramangala,3 BHK,Society E,1693,1,2,9593.23
Super built-up  Area,Ready To Move,HSR Layout,5 BHK,Society C,1247,5,0,8980.56
Built-up  Area,Under Construction,HSR Layout,4 Bedroom,Society E,961,5,0,6923.36
Built-up  Area,Immediate Possession,Indira Nagar,1 BHK,Society D,1541,4,0,13445.0
Carpet  Area,Immediate Possession,Whitefield,2 BHK,Society E,1554,3,3,8604.03
Carpet  Area,Ready To Move,Marathahalli,4 Bedroom,Society A,1880,2,3,10559.89
Built-up  Area,Ready To Move,Koramangala,3 BHK,Society E,1778,5,2,12520.4
Super built-up  Area,Immediate Possession,Electronic City,1 BHK,Society B,761,2,3,3668.29
Carpet  Area,Immediate Possession,Electronic City,3 BHK,Society E,1637,5,2,6141.42
Super built-up  Area,Under Construction,BTM Layout,4 BHK,Society B,1156,4,0,6486.11
Carpet  Area,Immediate Possession,BTM Layout,1 Bedroom,Society E,1035,2,3,5563.39
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Society C,1057,3,3,4384.17
Super built-up  Area,Immediate Possession,Electronic City,1 Bedroom,Society A,1499,5,1,7902.31
Built-up  Area,Under Construction,BTM Layout,2 Bedroom,Society E,1445,1,0,9216.52
Carpet  Area,Ready To Move,Koramangala,1 BHK,Society C,945,5,2,5668.68
Plot  Area,Ready To Move,Jayanagar,4 Bedroom,Society A,1110,1,3,5475.0
Carpet  Area,Immediate Possession,HSR Layout,1 Bedroom,Society C,1527,4,1,11074.57
Built-up  Area,Immediate Possession,Koramangala,1 BHK,Society A,1265,3,0,11289.19
Built-up  Area,Immediate Possession,Whitefield,4 BHK,Society E,1126,1,1,5241.17
Plot  Area,Under Construction,Indira Nagar,1 BHK,Society D,1103,2,1,10735.15
Built-up  Area,Under Construction,Koramangala,2 Bedroom,Society B,1633,3,2,10344.57
Carpet  Area,Under Construction,BTM Layout,2 BHK,Society C,1133,4,3,7544.3
Super built-up  Area,Ready To Move,BTM Layout,4 Bedroom,Society E,1890,1,3,11101.11
Carpet  Area,Under Construction,Electronic City,2 BHK,Society E,934,4,2,3047.74
Carpet  Area,Under Construction,Whitefield,3 BHK,Society C,1468,3,1,6690.59
Plot  Area,Immediate Possession,BTM Layout,2 BHK,Society D,977,3,3,5766.37
Carpet  Area,Ready To Move,Indira Nagar,4 Bedroom,Society D,1122,3,3,6759.29
Super built-up  Area,Under Construction,BTM Layout,5 Bedroom,Society B,1703,1,2,11415.93
Carpet  Area,Ready To Move,Marathahalli,5 BHK,Society B,1661,3,2,10191.93
Super built-up  Area,Ready To Move,Whitefield,1 BHK,Society E,1490,3,3,8984.06
Super built-up  Area,Immediate Possession,BTM Layout,3 Bedroom,Society B,1515,1,0,10615.58
Plot  Area,Ready To Move,Whitefield,5 Bedroom,Society D,1087,5,3,6709.98
Plot  Area,Ready To Move,Marathahalli,5 Bedroom,Society E,1887,4,1,10216.73
Super built-up  Area,Under Construction,HSR Layout,5 BHK,Society E,1304,1,0,10573.6
Built-up  Area,Immediate Possession,Whitefield,2 Bedroom,Society C,1309,1,0,6791.69
Carpet  Area,Immediate Possession,BTM Layout,2 Bedroom,Society D,1196,5,1,7695.4
Carpet  Area,Immediate Possession,Indira Nagar,4 BHK,Society E,1280,3,0,8644.21
Plot  Area,Immediate Possession,Marathahalli,3 BHK,Society D,1600,2,3,8182.35
Plot  Area,Ready To Move,Koramangala,4 BHK,Society E,1334,3,2,9913.31
Carpet  Area,Immediate Possession,Koramangala,4 Bedroom,Society A,1171,2,0,11291.57
Plot  Area,Under Construction,Koramangala,2 Bedroom,Society A,820,1,0,7624.09
Plot  Area,Under Construction,Jayanagar,4 Bedroom,Society A,1462,4,2,12318.97
Carpet  Area,Under Construction,Jayanagar,3 BHK,Society B,1509,1,0,8896.8
Built-up  Area,Under Construction,Jayanagar,2 Bedroom,Society D,1011,1,1,7503.5
Super built-up  Area,Ready To Move,BTM Layout,1 Bedroom,Society C,768,2,1,5695.83
Carpet  Area,Immediate Possession,Indira Nagar,5 BHK,Society C,1742,5,3,10104.16
Super built-up  Area,Immediate Possession,Indira Nagar,3 Bedroom,Society E,1207,5,3,7354.14
Super built-up  Area,Ready To Move,BTM Layout,4 BHK,Society A,910,4,0,4035.81
Carpet  Area,Under Construction,Whitefield,5 Bedroom,Society C,1601,3,0,10031.21
Built-up  Area,Under Construction,Koramangala,3 BHK,Society C,1386,5,3,12140.79
Super built-up  Area,Immediate Possession,Jayanagar,1 Bedroom,Society C,1475,5,2,10158.79
Built-up  Area,Under Construction,Electronic City,5 BHK,Society D,1394,3,3,7874.3
Carpet  Area,Ready To Move,Koramangala,1 BHK,Society A,672,1,0,4056.51
Super built-up  Area,Under Construction,Electronic City,3 Bedroom,Society D,1017,4,0,5428.6
Super built-up  Area,Immediate Possession,HSR Layout,4 BHK,Society D,1784,3,3,13624.7
Carpet  Area,Under Construction,Electronic City,2 BHK,Society A,846,3,0,2867.65
Plot  Area,Ready To Move,Indira Nagar,3 BHK,Society D,1451,1,2,12903.63
Built-up  Area,Immediate Possession,BTM Layout,3 BHK,Society C,1386,5,0,7576.31
Carpet  Area,Immediate Possession,Marathahalli,3 Bedroom,Society B,1300,1,2,5410.23
Plot  Area,Under Construction,Whitefield,5 BHK,Society B,1947,4,2,8876.31
Carpet  Area,Immediate Possession,Whitefield,4 BHK,Society D,1421,1,2,7818.88
Carpet  Area,Immediate Possession,BTM Layout,2 Bedroom,Society E,950,1,2,5486.6
Carpet  Area,Immediate Possession,BTM Layout,2 Bedroom,Society D,896,5,0,6840.38
Carpet  Area,Immediate Possession,Koramangala,1 BHK,Society A,1069,5,2,6687.82
Super built-up  Area,Ready To Move,BTM Layout,3 Bedroom,Society C,1183,4,1,6516.3
Built-up  Area,Immediate Possession,Marathahalli,5 BHK,Society D,1133,5,3,5938.97
Built-up  Area,Ready To Move,Koramangala,4 BHK,Society E,1499,3,3,11625.14
Super built-up  Area,Under Construction,Jayanagar,1 BHK,Society B,713,2,1,6101.57
Built-up  Area,Under Construction,Electronic City,2 Bedroom,Society D,1644,3,1,5743.41
Super built-up  Area,Under Construction,Indira Nagar,4 BHK,Society C,1177,1,3,6379.26
Built-up  Area,Under Construction,Whitefield,4 BHK,Society E,1021,3,2,7053.66
Plot  Area,Under Construction,Whitefield,4 Bedroom,Society E,1421,2,0,10036.48
Carpet  Area,Under Construction,BTM Layout,5 BHK,Society B,1744,1,3,9843.49
Plot  Area,Ready To Move,Whitefield,3 Bedroom,Society E,1038,3,0,4141.14
Super built-up  Area,Immediate Possession,Koramangala,2 BHK,Society B,793,3,3,6476.51
Super built-up  Area,Under Construction,HSR Layout,4 Bedroom,Society A,1836,1,3,8784.14
Built-up  Area,Under Construction,Koramangala,4 Bedroom,Society B,1268,4,2,13149.72
Plot  Area,Immediate Possession,Koramangala,1 BHK,Society D,1579,4,2,16227.22
Plot  Area,Under Construction,Jayanagar,2 Bedroom,Society B,1619,1,2,12140.96
Carpet  Area,Under Construction,Marathahalli,4 BHK,Society D,1408,1,3,7099.45
Plot  Area,Immediate Possession,HSR Layout,4 BHK,Society A,1808,5,1,9728.79
Plot  Area,Immediate Possession,BTM Layout,1 Bedroom,Society D,824,4,2,5301.01
Carpet  Area,Under Construction,Electronic City,4 BHK,Society C,1118,4,1,4407.07
Built-up  Area,Ready To Move,Koramangala,2 BHK,Society B,1038,3,2,10509.59
Built-up  Area,Ready To Move,Electronic City,2 Bedroom,Society E,1006,2,2,3826.63
Super built-up  Area,Under Construction,Whitefield,3 BHK,Society D,1706,4,2,7829.91
Carpet  Area,Immediate Possession,BTM Layout,3 Bedroom,Society B,987,5,3,7262.06
Built-up  Area,Ready To Move,Koramangala,4 Bedroom,Society C,941,2,0,6434.62
Carpet  Area,Immediate Possession,HSR Layout,5 Bedroom,Society B,1537,4,1,10496.85
Carpet  Area,Under Construction,BTM Layout,4 BHK,Society E,1515,5,3,8101.25
Super built-up  Area,Ready To Move,Jayanagar,5 BHK,Society E,1684,5,2,11504.05
Carpet  Area,Ready To Move,Marathahalli,1 BHK,Society A,1036,3,0,4241.79
Super built-up  Area,Under Construction,BTM Layout,5 Bedroom,Society C,1191,5,1,6389.94
Super built-up  Area,Immediate Possession,Marathahalli,1 BHK,Society C,1368,1,1,5739.01
Carpet  Area,Under Construction,Whitefield,4 BHK,Society C,1342,5,2,7722.92
Built-up  Area,Under Construction,Marathahalli,2 Bedroom,Society D,1203,2,3,4930.28
Plot  Area,Immediate Possession,Jayanagar,4 BHK,Society A,1115,3,2,6779.9
Plot  Area,Ready To Move,Koramangala,2 BHK,Society A,1501,1,1,13856.18
Super built-up  Area,Immediate Possession,Electronic City,4 Bedroom,Society D,1523,2,2,8115.54
Carpet  Area,Ready To Move,Electronic City,2 BHK,Society C,778,3,2,3430.72
Carpet  Area,Immediate Possession,Koramangala,2 Bedroom,Society A,969,1,1,5590.91
Carpet  Area,Ready To Move,Jayanagar,4 Bedroom,Society C,1405,5,3,11172.83
Carpet  Area,Under Construction,Electronic City,4 BHK,Society D,1023,2,3,3998.17
Super built-up  Area,Immediate Possession,HSR Layout,3 Bedroom,Society A,1075,2,0,6704.61
Carpet  Area,Under Construction,Whitefield,5 BHK,Society C,1990,5,0,12352.09
Plot  Area,Immediate Possession,Jayanagar,3 BHK,Society D,892,5,0,4522.64
Super built-up  Area,Under Construction,Marathahalli,1 BHK,Society D,1392,1,3,6415.63
Plot  Area,Ready To Move,Electronic City,3 BHK,Society A,1651,3,2,5582.84
Built-up  Area,Under Construction,Indira Nagar,4 BHK,Society D,980,5,0,5410.07
Built-up  Area,Under Construction,Indira Nagar,4 BHK,Society D,1650,1,2,10765.73
Carpet  Area,Under Construction,Whitefield,4 BHK,Society B,1900,2,3,11456.95
Carpet  Area,Under Construction,Whitefield,2 Bedroom,Society C,1281,2,2,9107.2
Built-up  Area,Under Construction,BTM Layout,1 Bedroom,Society E,1000,5,0,7165.04
Carpet  Area,Under Construction,Whitefield,2 Bedroom,Society B,1643,3,0,11281.6
Super built-up  Area,Immediate Possession,Koramangala,4 BHK,Society C,1282,5,0,13086.81
Carpet  Area,Immediate Possession,Electronic City,1 BHK,Society E,1025,4,1,4336.75
Super built-up  Area,Under Construction,HSR Layout,2 BHK,Society C,1008,2,1,6580.38
Built-up  Area,Immediate Possession,Koramangala,3 BHK,Society D,1250,5,1,10336.44
Carpet  Area,Immediate Possession,HSR Layout,1 BHK,Society A,1147,3,0,6561.96
Built-up  Area,Immediate Possession,Indira Nagar,3 BHK,Society B,1208,1,3,9149.17
Super built-up  Area,Immediate Possession,Electronic City,2 BHK,Society A,1245,2,2,5011.19
Plot  Area,Immediate Possession,Whitefield,5 Bedroom,Society C,1091,4,3,4939.43
Plot  Area,Under Construction,Koramangala,3 Bedroom,Society A,961,3,1,8942.53
Carpet  Area,Immediate Possession,Electronic City,5 Bedroom,Society E,1866,5,0,8053.86
Built-up  Area,Under Construction,Marathahalli,1 Bedroom,Society B,1524,2,3,6382.32
Plot  Area,Immediate Possession,Whitefield,5 Bedroom,Society C,1497,4,0,7910.35
Carpet  Area,Immediate Possession,Marathahalli,5 Bedroom,Society A,1750,4,1,8529.32
Built-up  Area,Under Construction,Koramangala,5 BHK,Society C,1116,2,1,7599.52
Super built-up  Area,Under Construction,Jayanagar,3 BHK,Society B,1603,2,3,13351.73
Built-up  Area,Under Construction,HSR Layout,3 Bedroom,Society E,1096,5,0,8960.94
Carpet  Area,Ready To Move,BTM Layout,3 BHK,Society C,1388,5,2,9782.55
Super built-up  Area,Under Construction,Jayanagar,3 BHK,Society C,1070,3,2,6689.55
Carpet  Area,Ready To Move,BTM Layout,4 Bedroom,Society E,1727,1,0,12825.07
Carpet  Area,Under Construction,Whitefield,3 Bedroom,Society C,1049,3,1,4165.47
Super built-up  Area,Immediate Possession,Electronic City,2 BHK,Society E,1198,4,2,6347.97
Super built-up  Area,Ready To Move,Indira Nagar,2 Bedroom,Society A,1517,2,3,11436.65
Built-up  Area,Ready To Move,Jayanagar,3 BHK,Society C,1058,5,3,6993.88
Carpet  Area,Ready To Move,Indira Nagar,2 Bedroom,Society D,1642,5,2,12241.65
Super built-up  Area,Ready To Move,BTM Layout,3 Bedroom,Society B,1517,1,3,7833.22
Super built-up  Area,Under Construction,Marathahalli,1 Bedroom,Society D,1405,4,1,7236.05
Super built-up  Area,Immediate Possession,Koramangala,3 BHK,Society E,1542,5,3,9162.6
Plot  Area,Under Construction,HSR Layout,2 Bedroom,Society B,1352,5,1,11069.42
Super built-up  Area,Immediate Possession,HSR Layout,2 BHK,Society B,944,5,3,7450.42
Plot  Area,Ready To Move,Marathahalli,1 Bedroom,Society C,960,4,2,4635.54
Plot  Area,Under Construction,Electronic City,4 BHK,Society D,1331,5,2,5464.5
Carpet  Area,Immediate Possession,HSR Layout,2 Bedroom,Society D,956,2,3,5555.77
Super built-up  Area,Immediate Possession,Marathahalli,3 Bedroom,Society E,1128,2,0,7150.15
Plot  Area,Under Construction,Jayanagar,1 Bedroom,Society A,606,4,1,2984.59
Super built-up  Area,Ready To Move,Koramangala,5 BHK,Society B,1701,4,1,11752.0
Carpet  Area,Immediate Possession,Whitefield,3 BHK,Society A,1431,5,1,7959.54
Super built-up  Area,Immediate Possession,Whitefield,3 Bedroom,Society E,1273,2,1,7615.3
Plot  Area,Ready To Move,BTM Layout,1 BHK,Society C,757,2,1,5346.8
Built-up  Area,Immediate Possession,Electronic City,5 BHK,Society A,1417,5,2,5087.31
Built-up  Area,Ready To Move,BTM Layout,5 BHK,Society D,1230,1,2,8716.03
Plot  Area,Under Construction,BTM Layout,3 BHK,Society E,1599,1,2,12050.4
Built-up  Area,Ready To Move,HSR Layout,2 BHK,Society C,958,2,1,6021.07
Built-up  Area,Under Construction,Indira Nagar,1 Bedroom,Society C,1337,3,3,8288.71
Plot  Area,Ready To Move,Marathahalli,3 Bedroom,Society D,948,1,3,4044.27
Plot  Area,Ready To Move,BTM Layout,2 BHK,Society A,1137,4,0,7255.07
Carpet  Area,Under Construction,Electronic City,5 BHK,Society E,1056,4,2,4273.27
Super built-up  Area,Under Construction,Jayanagar,2 BHK,Society E,1495,4,1,9696.8
Plot  Area,Ready To Move,Electronic City,2 BHK,Society E,948,5,3,3536.46
Carpet  Area,Under Construction,Whitefield,2 Bedroom,Society A,997,2,0,5495.3
Plot  Area,Under Construction,Jayanagar,3 BHK,Society B,1707,5,0,12861.66
Super built-up  Area,Ready To Move,HSR Layout,3 Bedroom,Society D,1798,3,0,10299.84
Carpet  Area,Ready To Move,Marathahalli,2 Bedroom,Society E,1423,2,1,5185.08
Plot  Area,Immediate Possession,Electronic City,2 Bedroom,Society B,1025,3,2,5557.3
Plot  Area,Immediate Possession,Marathahalli,4 Bedroom,Society A,902,1,3,3637.8
Built-up  Area,Ready To Move,HSR Layout,1 BHK,Society A,830,2,3,4459.41
Super built-up  Area,Immediate Possession,Electronic City,5 Bedroom,Society D,1298,3,2,5202.76
Carpet  Area,Ready To Move,Koramangala,5 BHK,Society D,1771,5,0,10490.03
Built-up  Area,Immediate Possession,Koramangala,2 Bedroom,Society E,974,3,0,9606.58
Super built-up  Area,Under Construction,Indira Nagar,2 Bedroom,Society C,1434,2,3,12132.18
Super built-up  Area,Immediate Possession,Koramangala,3 Bedroom,Society B,994,1,2,9438.97
Plot  Area,Ready To Move,Marathahalli,5 Bedroom,Society C,1492,2,3,5311.94
Built-up  Area,Ready To Move,Marathahalli,5 BHK,Society E,1995,4,2,12740.22
Super built-up  Area,Ready To Move,Koramangala,1 BHK,Society D,1503,5,2,8768.17
Built-up  Area,Under Construction,Koramangala,3 Bedroom,Society A,1691,5,0,11748.36
Super built-up  Area,Ready To Move,Electronic City,4 Bedroom,Society A,1171,5,0,5383.61
Built-up  Area,Under Construction,Indira Nagar,5 BHK,Society D,1685,4,2,9739.52
Plot  Area,Immediate Possession,Indira Nagar,2 BHK,Society A,1358,5,1,10015.46
Built-up  Area,Immediate Possession,BTM Layout,4 BHK,Society D,1883,3,1,9160.52
Built-up  Area,Immediate Possession,BTM Layout,4 Bedroom,Society B,1442,4,0,7491.22
Carpet  Area,Under Construction,Jayanagar,4 BHK,Society E,1133,3,2,8095.91
Super built-up  Area,Immediate Possession,Marathahalli,1 Bedroom,Society D,1499,2,2,5618.91
Plot  Area,Under Construction,Whitefield,1 Bedroom,Society E,737,1,1,5091.74
Super built-up  Area,Immediate Possession,Electronic City,5 BHK,Society C,1523,5,2,5112.63
Carpet  Area,Ready To Move,BTM Layout,1 BHK,Society E,685,3,3,3913.41
Carpet  Area,Ready To Move,Electronic City,4 Bedroom,Society A,1177,2,2,4465.67
Plot  Area,Under Construction,Koramangala,5 Bedroom,Society D,1127,5,0,6482.03
